,ci,er,adx,ext_atr,agreement_count
count,1419.0,1419.0,1419.0,1419.0,1419.0
mean,47.8410082658699,0.32155356082558134,24.245353894327447,5.156155353398676,3.134601832276251
std,9.79991236072365,0.22547314600367496,9.916020142471675,3.5927156171128973,0.968215263731102
min,10.608586065690538,0.0,7.918205983089146,0.004562613323615527,1.0
25%,41.25752170894042,0.13926934028959265,16.591067186130005,2.273924577823834,3.0
50%,48.80550242597665,0.2740600644476016,22.19798989060894,4.498939254249591,3.0
75%,54.75018412432169,0.47106638258627775,29.95241645862184,7.560092149814778,4.0
max,75.46749643672817,1.0,66.03950275362556,18.51172241782117,6.0
