symbol,t,date,final_state,final_score,weak_label,weak_reason,caps,weakest_lens,agreement_count,why_not_higher
NVDA,1985,2025-11-24,Mixed,60,mixed,default,extended,ATR Extension,5,capped by extended (<= 60)
META,1810,2025-03-17,Mixed,69,mixed,default,agree3,Agreement,5,capped by agree3 (<= 69)
XOM,610,2020-06-05,Mixed,69,mixed,default,agree3,Agreement,5,capped by agree3 (<= 69)
JPM,260,2019-01-15,Mixed,69,mixed,default,agree3,Agreement,5,capped by agree3 (<= 69)
JPM,935,2021-09-20,Mixed,69,mixed,default,agree3,Agreement,5,capped by agree3 (<= 69)
JPM,1985,2025-11-24,Mixed,60,mixed,default,extended;agree3,ATR Extension,4,capped by extended (<= 60)
INTC,1335,2023-04-24,Mixed,69,mixed,default,agree3,Agreement,5,capped by agree3 (<= 69)
JNJ,935,2021-09-20,Mixed,69,mixed,default,agree3,Agreement,5,capped by agree3 (<= 69)
