symbol,t,date,final_state,final_score,final_band,caps,weakest_lens,agreement_count,why_not_higher,trend,zone,location,regime,extension,false_high_self_flag
WMT,260,2019-01-15,Mixed,50,45-69,broken;extended;agree3,Zone,3,capped by broken (<= 50),Weak,Broken,NearSupport,Range,Extended,False
WMT,280,2019-02-13,Mixed,50,45-69,broken;severe;agree3,Zone,3,capped by broken (<= 50),Mixed,Broken,NearResistance,Range,Severe,False
WMT,300,2019-03-14,Unclear,44,0-44,chop;severe;agree3,Chop/Regime,3,capped by chop (<= 44),Mixed,Fresh,NearResistance,Chop,Severe,False
WMT,320,2019-04-11,Unclear,40,0-44,contradictory;severe;weakzone;agree3,Agreement,3,capped by contradictory (<= 40),Mixed,Weak,NearResistance,Range,Severe,False
WMT,340,2019-05-10,Unclear,44,0-44,chop;severe;agree3,Chop/Regime,3,capped by chop (<= 44),Mixed,Fresh,NearResistance,Chop,Severe,False
WMT,360,2019-06-10,Mixed,50,45-69,broken;severe;agree3,Zone,2,capped by broken (<= 50),Mixed,Broken,Upper,Range,Severe,False
WMT,380,2019-07-09,Mixed,50,45-69,broken;severe;agree3,Zone,3,capped by broken (<= 50),Clean,Broken,Upper,Trend,Severe,False
WMT,400,2019-08-06,Mixed,50,45-69,broken;severe;agree3,Zone,3,capped by broken (<= 50),Clean,Broken,Lower,Trend,Severe,False
WMT,420,2019-09-04,Unclear,44,0-44,broken;chop;pricediscovery;severe;agree3,Chop/Regime,1,capped by chop (<= 44),Weak,Broken,Above,Chop,Severe,False
WMT,440,2019-10-02,Unclear,44,0-44,chop;severe;agree3,Chop/Regime,3,capped by chop (<= 44),Clean,Fresh,Lower,Chop,Severe,False
WMT,460,2019-10-30,Unclear,44,0-44,chop;severe;agree3,Chop/Regime,3,capped by chop (<= 44),Mixed,Fresh,Mid,Chop,Severe,False
WMT,480,2019-11-27,Mixed,50,45-69,severe;agree3,Extension,4,capped by severe (<= 50),Mixed,Fresh,NearResistance,Range,Severe,False
WMT,500,2019-12-27,Unclear,44,0-44,chop;severe;agree3,Chop/Regime,3,capped by chop (<= 44),Mixed,Fresh,NearResistance,Chop,Severe,False
WMT,520,2020-01-28,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,3,capped by chop (<= 44),Weak,Broken,NearResistance,Chop,Stretched,False
WMT,540,2020-02-26,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,3,capped by chop (<= 44),Weak,Broken,NearSupport,Chop,Normal,False
WMT,560,2020-03-25,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,2,capped by chop (<= 44),Weak,Broken,Lower,Chop,Normal,False
WMT,580,2020-04-23,Mixed,50,45-69,broken;agree3,Zone,4,capped by broken (<= 50),Clean,Broken,Upper,Trend,Stretched,False
WMT,600,2020-05-21,Mixed,52,45-69,compression;weakzone;agree3,Zone,3,capped by weakzone (<= 52),Mixed,Weak,NearResistance,Compression,Stretched,False
WMT,620,2020-06-19,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,3,capped by chop (<= 44),Weak,Broken,NearResistance,Chop,Normal,False
WMT,640,2020-07-20,Mixed,50,45-69,broken;severe;agree3,Zone,4,capped by broken (<= 50),Clean,Broken,NearResistance,Trend,Severe,False
WMT,660,2020-08-17,Mixed,50,45-69,severe;weakzone;agree3,Extension,3,capped by severe (<= 50),Clean,Weak,Upper,Trend,Severe,False
WMT,680,2020-09-15,Unclear,44,0-44,chop;extended;weakzone;agree3,Chop/Regime,3,capped by chop (<= 44),Clean,Weak,NearResistance,Chop,Extended,False
