symbol,date,open,high,low,close,volume
JNJ,2018-01-02,110.47095717877082,110.70034164858664,109.72741595916892,110.13082122802734,6842100
JNJ,2018-01-03,110.23362674666382,111.27773920369495,109.869761877438,111.18282318115234,5350500
JNJ,2018-01-04,111.09583726727216,111.6416286564506,110.91391082744273,111.17494201660156,4837600
JNJ,2018-01-05,111.28567623855307,112.17950917162895,110.96136367897992,112.09249877929688,6158800
JNJ,2018-01-08,112.08456389995992,112.32186603086407,111.46758560142173,112.23485565185547,5129800
JNJ,2018-01-09,112.61453849788313,115.23274359919914,112.52752811371454,114.01461029052734,8897000
JNJ,2018-01-10,113.54794685729922,114.0304568915355,113.36602040593861,113.88016510009766,6558600
JNJ,2018-01-11,114.00668216740726,114.6157426668186,113.65864069935158,114.52873229980469,4962200
JNJ,2018-01-12,114.68699026829009,115.81811344835496,114.61579115992863,115.29605102539062,5450600
JNJ,2018-01-16,115.81810373857604,117.11534196980688,115.50961452717634,116.16614532470703,8804000
JNJ,2018-01-17,116.94134545994322,117.32103385257868,115.07458644007666,116.2610855102539,10619700
JNJ,2018-01-18,116.2215210653718,116.62493843196711,115.46216849829494,116.21361541748047,5554800
JNJ,2018-01-19,116.64073498852093,116.79101468206433,115.81808914862609,116.56163024902344,8738800
JNJ,2018-01-22,116.28481672361703,117.17864990234375,116.05543220971266,117.17864990234375,7010400
JNJ,2018-01-23,116.24523786060868,116.62491406481907,112.02129331872356,112.18740844726562,17473600
JNJ,2018-01-24,113.50837361852493,113.5558316345323,112.16367752966481,112.37725067138672,13034400
JNJ,2018-01-25,112.56709802121338,114.42595103184587,112.4880053403571,114.22028350830078,7938800
JNJ,2018-01-26,114.29937138997562,115.1694752388128,114.00670558158882,114.95590209960938,8065600
JNJ,2018-01-29,114.57624419302643,114.6474312275597,113.53211940777659,113.65076446533203,8013400
JNJ,2018-01-30,113.42928038197176,113.76151066709343,112.6620101928711,112.6620101928711,8376100
JNJ,2018-01-31,112.77276213315275,112.77276213315275,109.23699473117111,109.30818176269531,13137400
JNJ,2018-02-01,108.78610702168477,111.26984375317771,108.36687845746093,110.75569915771484,9393600
JNJ,2018-02-02,109.96471035156543,111.0246463653747,108.6674721677283,108.9047622680664,9262500
