symbol,date,open,high,low,close,volume
QQQ,2018-01-02,148.2299326915804,150.09511634577575,147.86068394235434,150.0572509765625,32573300
QQQ,2018-01-03,150.1992173040552,151.64780921032536,150.17081467427832,151.5152587890625,29383600
QQQ,2018-01-04,152.03604896763068,152.23486744305097,151.56265238264498,151.78041076660156,24776100
QQQ,2018-01-05,152.49998300784918,153.40889636185685,152.2159421671278,153.30474853515625,26992300
QQQ,2018-01-08,153.30479114814213,153.97702084314014,153.24798585359156,153.90127563476562,23159100
QQQ,2018-01-09,154.20416329331803,154.36511636134475,153.4467404901132,153.91065979003906,24782400
QQQ,2018-01-10,153.22895144206706,153.57927462061681,152.54725943402343,153.5508575439453,34004000
QQQ,2018-01-11,153.81599642632787,154.6112990753957,153.57929817742095,154.60182189941406,20473500
QQQ,2018-01-12,154.46929282252498,155.89895968968523,154.2704743562168,155.73800659179688,37762700
QQQ,2018-01-16,156.77004031784324,157.56534324272374,154.82911111430522,155.2930450439453,41231800
QQQ,2018-01-17,156.03152551116744,157.20553985768248,155.27408804594995,156.96884155273438,33849900
QQQ,2018-01-18,156.72270576729355,157.35705559312933,156.3534569299587,156.99728393554688,26432200
QQQ,2018-01-19,157.4611298385631,157.74517060687685,156.7320952375043,157.48953247070312,38937600
QQQ,2018-01-22,157.4327546368143,159.1748504638672,157.25286163730806,159.1748504638672,26081400
QQQ,2018-01-23,159.66715478173393,160.63288758912535,159.59140961577057,160.49085998535156,37989700
QQQ,2018-01-24,160.83177301635945,161.18209636076,158.5310722351941,159.449462890625,54287400
QQQ,2018-01-25,160.5477280065856,160.6045332864235,158.88136274777995,159.39263916015625,28925000
QQQ,2018-01-26,160.28260225544508,161.85428231492003,159.9701732365444,161.83534240722656,32038200
QQQ,2018-01-29,161.49453929257186,161.81644554567086,160.70869912394605,161.04954528808594,37277800
QQQ,2018-01-30,159.58195534147566,160.40566058872912,158.89080052995166,159.72396850585938,44987700
QQQ,2018-01-31,160.62343226703516,160.94535287790538,159.38313570533205,160.38673400878906,42449200
QQQ,2018-02-01,159.15592692182747,160.69918986094157,158.51210009725204,159.02337646484375,38037900
QQQ,2018-02-02,158.398514969745,158.77722649421813,155.71908831568786,155.8516387939453,68478100
QQQ,2018-02-05,154.3935619690327,156.93096061182612,149.59331388638628,149.70692443847656,105372200
QQQ,2018-02-06,147.51982576459056,153.86333643730134,146.84761077589522,153.67398071289062,118537900
QQQ,2018-02-07,153.1816811943043,154.84804664337153,151.67628331904677,151.68576049804688,91028300
QQQ,2018-02-08,152.07387333789637,152.24430357493935,145.28536987304688,145.28536987304688,94184800
QQQ,2018-02-09,147.339947215519,148.8737619615305,142.1420620032916,147.79441833496094,113836600
