symbol,date,open,high,low,close,volume
SPY,2018-01-02,235.13784025255728,235.9894083349834,234.7515602899202,235.95428466796875,86655700
SPY,2018-01-03,236.12110292886277,237.59600232641256,236.12110292886277,237.44674682617188,90070400
SPY,2018-01-04,238.08756220469394,238.93034249595146,237.5081423821099,238.44747924804688,80636400
SPY,2018-01-05,239.23770970584548,240.15949850554858,238.74608544046873,240.03660583496094,83524000
SPY,2018-01-08,239.93998942067273,240.63354122486592,239.6502928293821,240.47552490234375,57319200
SPY,2018-01-09,240.89690172182273,241.64312563339757,240.6159659541577,241.0198211669922,57254000
SPY,2018-01-10,240.2647516047838,240.91441875952185,239.59756280712446,240.65103149414062,69574300
SPY,2018-01-11,241.20421201328483,242.4069366455078,241.03740804909924,242.4069366455078,62361500
SPY,2018-01-12,242.67034130166897,244.15397506052784,242.37183023495885,243.98719787597656,90816100
SPY,2018-01-16,245.2425535744117,245.89219413547542,242.45958535928062,243.15313720703125,106555100
SPY,2018-01-17,244.0836722321971,245.8570288429602,243.15309604331574,245.4707489013672,113258800
SPY,2018-01-18,245.35666596416098,245.77804281728476,244.56653078153596,245.0581817626953,100728000
SPY,2018-01-19,245.63752981107027,246.17306518554688,245.0581367444621,246.17306518554688,140920100
SPY,2018-01-22,245.96243468466326,248.17474365234375,245.9097357837922,248.17474365234375,91322400
SPY,2018-01-23,248.21861368775413,248.99117363539048,247.89379343511357,248.70147705078125,97084700
SPY,2018-01-24,249.3422792693904,249.9392743385653,247.42845501900035,248.60484313964844,134816100
SPY,2018-01-25,249.46521648794092,249.5617730729087,247.92009679641455,248.710205078125,84587300
SPY,2018-01-26,249.54421710609475,251.63363295548834,249.2896174392641,251.5897216796875,107743100
SPY,2018-01-29,251.0191178174703,251.45806987609902,249.76372135975387,249.92173767089844,90118300
SPY,2018-01-30,248.09575853461737,249.97445978985772,246.88424632375978,247.3583221435547,131796400
SPY,2018-01-31,248.2098613943564,248.71024642133222,246.41014172914782,247.48118591308594,108364800
SPY,2018-02-01,246.75251295523756,248.4995335490144,246.41011749473475,247.20022583007812,90102500
SPY,2018-02-02,245.88338406187754,246.01509111839752,241.78358665930918,241.81871032714844,173174800
SPY,2018-02-05,240.06291099027115,242.1698756837403,231.1609496616137,231.7052459716797,294681800
SPY,2018-02-06,228.20241370210414,236.7707670349998,227.11382109691172,236.27035522460938,355026800
SPY,2018-02-07,235.7173421342192,239.10604041260777,234.9096582611714,234.9886932373047,167376100
SPY,2018-02-08,235.2870873577438,235.4275552292879,226.1393148107997,226.1744384765625,246449500
SPY,2018-02-09,228.9573254524365,231.42423325787024,222.03945185827985,229.57186889648438,283565300
SPY,2018-02-12,231.61742570067418,234.409181085586,229.71238881690365,232.9430694580078,143736000
SPY,2018-02-13,231.74033205487234,234.06677241807566,231.16091216963022,233.52247619628906,81223600
SPY,2018-02-14,232.03884618797034,237.0341229974219,232.03005857309503,236.67417907714844,120735700
SPY,2018-02-15,238.4124355383196,239.7029557055696,235.95428785276758,239.6941680908203,111200300
SPY,2018-02-16,239.07086405094287,241.70457649535732,239.0269527686309,239.76438903808594,160420100
SPY,2018-02-20,238.81623691260538,240.25601241008334,237.47304479191206,238.26315307617188,86369700
SPY,2018-02-21,238.70205413476359,241.17774944949892,236.98137007107857,237.0779266357422,98883700
SPY,2018-02-22,237.99984336345477,239.71174054605476,236.71811068253444,237.3852996826172,110511300
SPY,2018-02-23,238.6055718002206,241.16903686523438,238.13149606679718,241.16903686523438,92766400
SPY,2018-02-26,242.2400410112022,244.06609630972784,241.6518603424057,243.96951293945312,86491400
SPY,2018-02-27,244.15389845883672,244.86502543404572,240.8617580559553,240.9232177734375,99099200
SPY,2018-02-28,242.02061880237406,242.46835850910344,238.1666333695874,238.482666015625,121907800
SPY,2018-03-01,238.27201694583923,239.8171371368471,233.5225513150146,235.01499938964844,176855100
SPY,2018-03-02,233.3469007734564,236.7882966589394,232.48657189571603,236.22642517089844,139083200
SPY,2018-03-05,235.04131119345968,239.57130027476285,234.93594018007119,238.95675659179688,97307400
SPY,2018-03-06,239.93122003936082,240.01025499813764,238.07006732196808,239.56251525878906,79213200
SPY,2018-03-07,237.40287505154694,239.8258725222724,237.20973504815836,239.47471618652344,87063500
SPY,2018-03-08,240.1506510839523,240.75640704428025,239.15864197545773,240.63351440429688,66901200
SPY,2018-03-09,242.0381348622031,244.82107543945312,241.72207550192218,244.82107543945312,113625300
